Name,Description,Outlook Booked,WiFi Count,Tenant Complaint,Logic Action,Energy Reduction %,Hourly Savings SGD,Energy Saved kWh,Carbon Avoided Tonnes
Meeting Room 202 - Slot 1,Post-meeting cleanup period,True,12,True,TENANT OVERRIDE -> Reverting to Max Comfort,0,0.0,0.0,0.0
Open Plan - Slot 2,Executive meeting in progress,True,47,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Meeting Room 202 - Slot 3,Post-meeting cleanup period,True,15,False,Maintain Normal Comfort,0,0.0,0.0,0.0
South Wing - Slot 4,Team collaboration area with dynamic usage,True,27,False,Maintain Normal Comfort,0,0.0,0.0,0.0
West Wing - Slot 5,Team collaboration area with dynamic usage,False,12,False,UNSCHEDULED OCCUPANCY -> Adjusting for Comfort,19,3.0,10.0,0.004
Conference Suite B - Slot 6,Standard office space with scheduled occupancy,False,17,False,UNSCHEDULED OCCUPANCY -> Adjusting for Comfort,19,3.0,10.0,0.004
Meeting Room 202 - Slot 7,Regular working hours with standard occupancy,False,0,False,Eco-Mode (No Booking),60,9.0,30.0,0.012
South Wing - Slot 8,Meeting scheduled in calendar but attendees not present,True,16,False,Maintain Normal Comfort,0,0.0,0.0,0.0
South Wing - Slot 9,Meeting scheduled in calendar but attendees not present,True,18,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Hot Desk Area - Slot 10,Standard office space with scheduled occupancy,False,10,False,UNSCHEDULED OCCUPANCY -> Adjusting for Comfort,19,3.0,10.0,0.004
Cafeteria - Slot 11,Executive meeting in progress,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
Cafeteria - Slot 12,Unscheduled visitors occupying the space,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
Hot Desk Area - Slot 13,Standard office space with scheduled occupancy,True,24,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Open Plan - Slot 14,Regular working hours with standard occupancy,False,11,False,UNSCHEDULED OCCUPANCY -> Adjusting for Comfort,19,3.0,10.0,0.004
Open Plan - Slot 15,Early morning setup before main occupancy,False,31,True,TENANT OVERRIDE -> Reverting to Max Comfort,0,0.0,0.0,0.0
Lobby Area - Slot 16,Off-peak hours with minimal activity,False,0,False,Eco-Mode (No Booking),60,9.0,30.0,0.012
Conference Suite A - Slot 17,Regular working hours with standard occupancy,False,8,False,UNSCHEDULED OCCUPANCY -> Adjusting for Comfort,19,3.0,10.0,0.004
Training Center - Slot 18,Standard office space with scheduled occupancy,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
Conference Suite B - Slot 19,Team collaboration area with dynamic usage,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
Conference Suite B - Slot 20,Team collaboration area with dynamic usage,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
Executive Floor - Slot 21,Regular working hours with standard occupancy,True,9,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Hot Desk Area - Slot 22,Early morning setup before main occupancy,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
Executive Floor - Slot 23,Unscheduled visitors occupying the space,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
North Wing - Slot 24,Training session with full capacity expected,True,21,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Open Plan - Slot 25,Off-peak hours with minimal activity,True,75,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Lobby Area - Slot 26,Regular working hours with standard occupancy,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
Central Hub - Slot 27,Unscheduled visitors occupying the space,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
Conference Suite A - Slot 28,Executive meeting in progress,False,9,False,UNSCHEDULED OCCUPANCY -> Adjusting for Comfort,19,3.0,10.0,0.004
West Wing - Slot 29,Regular working hours with standard occupancy,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
North Wing - Slot 30,Post-meeting cleanup period,True,19,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Lobby Area - Slot 31,Unscheduled visitors occupying the space,True,6,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Open Plan - Slot 32,Meeting scheduled in calendar but attendees not present,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
Central Hub - Slot 33,Standard office space with scheduled occupancy,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
South Wing - Slot 34,Regular working hours with standard occupancy,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
Training Center - Slot 35,Executive meeting in progress,False,19,False,UNSCHEDULED OCCUPANCY -> Adjusting for Comfort,19,3.0,10.0,0.004
